	Smiles	Standard Type	Standard Value	pChEMBL Value
0	CC(C)c1ccc(S(=O)(=O)n2cc(N3CCN(C)CC3)c3ccccc32)cc1	Ki	3.4	8.47
1	COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(OC)c(N2CCNCC2)c1	Ki	1.259	8.9
2	CNc1cc(S(=O)(=O)Nc2ccc(N)cc2)cc(Br)n1	Ki	42.66	7.37
4	CC([Se]c1ccccc1)c1nc(N)nc(N2CCN(C)CC2)n1	Ki	111.0	6.96
6	CN1CCN(c2nc(N)nc(CSc3ccccc3)n2)CC1	Ki	26.0	7.58
9	O=S(=O)(c1ccccc1)c1nnn2c1nc(NCc1cccs1)c1sccc12	Ki	1.7	8.77
10	Cc1c(S(=O)(=O)n2ccc3c(N4CCNCC4)cccc32)sc2ccc(Cl)cc12	Ki	3.162	8.5
11	N#Cc1ccc2c(ccn2S(=O)(=O)c2cccc(Cl)c2)c1N1CCNCC1	Ki	5.012	8.3
12	O=S(=O)(c1ccccc1)n1ccc2c(N3CCNCC3)c(Cl)ccc21	Ki	1.585	8.8
13	O=S(=O)(c1ccc(Cl)cc1)n1ccc2c(N3CCNCC3)c(Cl)ccc21	Ki	6.31	8.2
14	O=S(=O)(c1ccc2ccccc2c1)n1ccc2c(N3CCNCC3)c(Cl)ccc21	Ki	25.12	7.6
16	COc1cc(S(=O)(=O)c2cccc(F)c2)cc2c3c(oc12)CCNC3	Ki	0.2	9.7
17	COc1cc(S(=O)(=O)c2ccc([C@H](C)O)cc2)cc2c3c(oc12)CCNC3	Ki	8.6	8.07
18	COc1cc(S(=O)(=O)c2cccc(Cl)c2)cc2c3c(oc12)CCNC3	Ki	0.05	10.3
19	COc1cc(S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc2c3c(oc12)CCNC3	Ki	0.23	9.64
20	COc1cc([S+]([O-])c2ccccc2)cc2c3c(oc12)CCNC3	Ki	7.4	8.13
21	CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccccc3Cl)cc12	Ki	22.0	7.66
22	CN1CCC[C@H]1Cc1c[nH]c2ccc(NS(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc12	Ki	8.0	8.1
24	Cc1cc(S(=O)(=O)Nc2ccc3c(c2)CCN(C)CC3)ccc1-c1ccc(Cl)cc1	Ki	5.012	8.3
27	COc1cc(OC)c2c3c(n(S(=O)(=O)c4ccc(N)cc4)c2c1)CCCC3	Ki	210.0	6.68
28	COc1ccc2[nH]cc(C3CCN(CCCCN4C(=O)CC(c5c[nH]c6ccccc56)C4=O)CC3)c2c1	Ki	159.0	6.8
29	O=S(=O)(Nc1ccc2[nH]cc(C[C@H]3CCCN3)c2c1)c1ccc(Br)cc1	Ki	3.0	8.52
31	COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N1CCNCC1	Ki	1.0	9.0
33	Cl.c1ccc2c(C[C@@H]3CCCN3)c[nH]c2c1	Ki	2400.0	5.62
34	CN1CCC[C@@H]1Cc1c[nH]c2ccccc12.Cl	Ki	640.0	6.19
37	CN1CCC(c2c[nH]c3ccc(NS(=O)(=O)c4ccc(Cl)s4)cc23)CC1	Ki	24.3	7.61
38	CN(C)C(=O)C(=O)c1c[nH]c2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc12	Ki	18.4	7.74
44	CCCc1[nH]c2ccc(OC)cc2c1CCN(C)C	Ki	185.0	6.73
45	COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21	Ki	784.0	6.11
46	CN1CC=C(c2cn(C(=O)Nc3ccccc3)c3ccccc23)CC1	Ki	118.0	6.93
47	CN1CC=C(c2cn(Cc3ccccc3)c3ccccc23)CC1	Ki	10.0	8.0
50	COc1ccccc1N1CCN(CCCNS(=O)(=O)c2cccc3cccnc23)CC1	Ki	2159.0	5.67
52	O=S(=O)(NCCCCN1CCc2sccc2C1)c1cnc2ccccc2c1	Ki	1082.0	5.97
55	COc1ccc2c(c1)c(CCN(C)C)cn2S(=O)(=O)c1ccc2ccccc2c1	Ki	1.6	8.8
57	CC(C)CS(=O)(=O)n1ccc2c(-c3ccc(C(F)(F)F)cc3)cc(N3CCNCC3)nc21	Ki	3.0	8.52
58	O=C1c2cccc(N3CCNCC3)c2Oc2ccc(F)cc2N1Cc1cccc(C(F)(F)F)c1	Ki	0.3	9.52
59	Fc1ccc2c(CCNCc3cccc(OCC(F)(F)C(F)F)c3)c[nH]c2c1	Ki	0.83	9.08
60	CN(C)CCc1cn(S(=O)(=O)c2ccccc2)c2sccc12	Ki	1.2	8.92
61	Cl.O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2)CC1)c1ccc2ncccc2c1	Ki	397.0	6.4
62	Cl.O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2)CC1)c1cnc2ccc(Cl)cc2c1	Ki	155.0	6.81
63	Cl.O=S(=O)(c1cnc2ccccc2c1)N1CCC(CCN2CCN(c3ccc(Cl)cc3)CC2)CC1	Ki	24840.0	4.61
64	Cl.O=S(=O)(NCCCCN1CCN(c2cccc(Cl)c2)CC1)c1cccc2cccnc12	Ki	3765.0	5.42
66	Cc1ccc(S(=O)(=O)c2nc(N3CCc4ccccc4C3)sc2Cl)cc1	Ki	1174.0	5.93
67	O=S(=O)(c1ccc(F)cc1)N1CC=c2ccccc2=C1c1c[nH]c2ccccc12	Ki	5826.0	5.24
70	O=S(=O)(c1cc(Cl)ccc1Cl)c1cccc2oc(N3CCNCC3)nc12	Ki	13.0	7.89
71	Cn1c2c(c3cc(S(=O)(=O)c4cccc(F)c4)ccc31)C1CCC(C2)N1	Ki	4.2	8.38
