	Standard Type	Standard Value	Smiles
2	Ki	1.0	C1CCN(C1)C2=NC(=CC(=C2)S(=O)(=O)C3=CC=C(C=C3)N)Br
8	Ki	2.291	CNC1=NC(=CC(=C1)S(=O)(=O)C2=CC=C(C=C2)N)Br
9	Ki	0.1148	C1CN(CCN1)C2=NC(=CC(=C2)S(=O)(=O)C3=CC=C(C=C3)N)Br
11	Ki	53.699999999999996	C1=CC(=CC=C1N)S(=O)(=O)C2=CC(=NC(=C2)Br)Br
13	Ki	54.949999999999996	CNC1=CC(=NC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N.Br.Br
14	Ki	42.66	CNC1=NC(=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)N)Br
21	Ki	50.12	CC(C)C[C@H]1C(=O)N[C@H]([C@]2(N1C(=O)[C@](O2)(C)NC(=O)[C@H]3CN([C@@H]4CC5=CNC6=CC=CC(=C56)C4=C3)C)O)CC7=CC=CC=C7
22	Ki	6.31	CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
24	Ki	1000.0	C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN
26	Ki	125.89	C1=CC2=C(C=C1O)C(=CN2)CCN
53	Ki	125.89	C1CC(CC2=C1C=CC=C2O)(CCCN)CCCN
89	Ki	2200.0	C[C@@H](CC1=CNC2=C1C3=C(C=C2)OCCC3)N
90	Ki	400.0	CC(CC1=CNC2=C1C3=C(C=C2)OCCC3)N
91	Ki	1120.0	CCC(=O)NC1=NC2=C(C=C1)NC=C2C3CCN(CC3)C
92	Ki	46.0	CC1=C(C2=C(N1)C=CC(=C2)O)CCN
95	Ki	3.0	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)F)Br)N3CCNCC3
102	Ki	12.0	CNC1=CC(=CC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N
126	Ki	17.0	CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=C(NC4=CC=CC(=C34)C2=C1)Br)C
130	Ki	2300.0	C1CN(CCN1)C2=CC(=CC=C2)Cl
131	Ki	104.0	C1CN(CCN1)C2=CC=CC3=CC=CC=C32
134	Ki	180.0	CC[C@](C)(CNC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C)CO
137	Ki	2600.0	CNS(=O)(=O)C1=CC2=C(C=C1)NC=C2CCN(C)C
138	Ki	55.0	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
145	Ki	9.5	CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
213	Ki	60.0	CC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C
243	Ki	4.0	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
252	Ki	5.0	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Br)OC
285	Ki	5.0	C1CCN2CCNCC2C1
286	Ki	33.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)C3=CC=CC=C3
288	Ki	20.0	CCOC(=O)C1=C(C2=CC=CC=C2N1)CCN(C)C
290	Ki	71.0	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
