	Standard Type	Standard Value	Smiles	pKi
2	Ki	1.0	C1CCN(C1)C2=NC(=CC(=C2)S(=O)(=O)C3=CC=C(C=C3)N)Br	9.0
8	Ki	2.291	CNC1=NC(=CC(=C1)S(=O)(=O)C2=CC=C(C=C2)N)Br	8.64
9	Ki	0.1148	C1CN(CCN1)C2=NC(=CC(=C2)S(=O)(=O)C3=CC=C(C=C3)N)Br	9.9401
11	Ki	53.7	C1=CC(=CC=C1N)S(=O)(=O)C2=CC(=NC(=C2)Br)Br	7.27
13	Ki	54.95	CNC1=CC(=NC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N.Br.Br	7.26
14	Ki	42.66	CNC1=NC(=CC(=C1)S(=O)(=O)NC2=CC=C(C=C2)N)Br	7.37
21	Ki	50.12	CC(C)C[C@H]1C(=O)N[C@H]([C@]2(N1C(=O)[C@](O2)(C)NC(=O)[C@H]3CN([C@@H]4CC5=CNC6=CC=CC(=C56)C4=C3)C)O)CC7=CC=CC=C7	7.3
22	Ki	6.31	CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C	8.2
24	Ki	1000.0	C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN	6.0
26	Ki	125.89	C1=CC2=C(C=C1O)C(=CN2)CCN	6.9
53	Ki	125.89	C1CC(CC2=C1C=CC=C2O)(CCCN)CCCN	6.9
89	Ki	2200.0	C[C@@H](CC1=CNC2=C1C3=C(C=C2)OCCC3)N	5.6576
90	Ki	400.0	CC(CC1=CNC2=C1C3=C(C=C2)OCCC3)N	6.3979
91	Ki	1120.0	CCC(=O)NC1=NC2=C(C=C1)NC=C2C3CCN(CC3)C	5.9508
92	Ki	46.0	CC1=C(C2=C(N1)C=CC(=C2)O)CCN	7.3372
95	Ki	3.0	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)F)Br)N3CCNCC3	8.5229
102	Ki	12.0	CNC1=CC(=CC(=N1)NC)NS(=O)(=O)C2=CC=C(C=C2)N	7.9208
126	Ki	17.0	CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=C(NC4=CC=CC(=C34)C2=C1)Br)C	7.7696
130	Ki	2300.0	C1CN(CCN1)C2=CC(=CC=C2)Cl	5.6383
131	Ki	104.0	C1CN(CCN1)C2=CC=CC3=CC=CC=C32	6.983
134	Ki	180.0	CC[C@](C)(CNC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C)CO	6.7447
137	Ki	2600.0	CNS(=O)(=O)C1=CC2=C(C=C1)NC=C2CCN(C)C	5.585
138	Ki	55.0	CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42	7.2596
145	Ki	9.5	CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42	8.0223
213	Ki	60.0	CC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C	7.2218
243	Ki	4.0	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	8.3979
252	Ki	5.0	CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Br)OC	8.301
285	Ki	5.0	C1CCN2CCNCC2C1	8.301
286	Ki	33.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)C3=CC=CC=C3	7.4815
288	Ki	20.0	CCOC(=O)C1=C(C2=CC=CC=C2N1)CCN(C)C	7.699
290	Ki	71.0	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F	7.1487
291	Ki	2.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=C(C=C3)N	8.699
294	Ki	4.1	CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=CC=C3	8.3872
305	Ki	6.5	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)CC3=CC=CC=C3	8.1871
306	Ki	1.5	CN(C)CCC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3	8.8239
310	Ki	7.9	CN(C)CCCC1=C2C=CN(C2=CC=C1)S(=O)(=O)C3=CC=CC=C3	8.1024
312	Ki	19600.0	CN(C)CCC1=CNC2=C1C=CC=C2OC	4.7077
314	Ki	20.0	CN(C)CCC1=C(NC2=C1C=C(C=C2)OC)C3=CC=CC=C3	7.699
321	Ki	16.0	CCC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C	7.7959
335	Ki	80.0	CC1=C(C2=C(N1)C=CC(=C2)OC)CCN	7.0969
337	Ki	16.0	CN(C)CCC1=CNC2=C1C=C(C=C2)OC	7.7959
343	Ki	5.0	CN(C)CCC1=CN(C2=C1C=CC=C2OC)S(=O)(=O)C3=CC4=CC=CC=C4C=C3	8.301
346	Ki	130.0	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)OC)N	6.8861
347	Ki	1.5	CN(C)CC1CCCC2=C1C3=C(N2S(=O)(=O)C4=CC=CC=C4)C=CC(=C3)OC	8.8239
350	Ki	50.0	C1=CC(=CC=C1N)S(=O)(=O)NC2=CC(=CC3=C2C=CN3)Br	7.301
351	Ki	1.4	CNC1=C(C=CC(=C1)N2CCCNCC2)S(=O)(=O)C3=CC=C(C=C3)F	8.8539
353	Ki	55.0	C1=CC(=CC=C1N)S(=O)(=O)NC2=CC(=NC(=C2)Br)N	7.2596
355	Ki	1000.0	CNC1=CC(=NC(=N1)N)NS(=O)(=O)C2=CC=C(C=C2)N	6.0
357	Ki	154.0	CN(C)CCC1=CNC2=C1C(=CC=C2)OC	6.8125
358	Ki	0.7	C1CC2CN(CCN2C1)C3=CC4=C(C=C3)C=CN4S(=O)(=O)C5=CC=CC6=CC=CC=C65	9.1549
360	Ki	0.9	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)S(=O)(=O)C3=CC=CC4=CC=CC=C43	9.0458
368	Ki	0.8	CN(C)CCC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N	9.0969
372	Ki	18.0	CN(C)CCC1=CN(C2=C1C=C(C=C2)OC)C(=O)C3=CC=CC=C3	7.7447
376	Ki	20.0	CNC1=CC(=CC(=C1)Br)NS(=O)(=O)C2=CC=C(C=C2)N	7.699
377	Ki	1.3	CN(C)CCC1=C(NC2=CC=CC=C21)C3=NC(=NO3)CC4=CC(=CC=C4)OC	8.8861
379	Ki	200.0	CNC1=CC(=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)NC	6.699
380	Ki	1595.0	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F	5.7972
382	Ki	8000.0	CN(C)CCC1=CNC2=C1C=CC(=C2)OC	5.0969
383	Ki	0.6	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C	9.2218
387	Ki	0.8	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCC[C@H]5C4	9.0969
391	Ki	15.0	CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl	7.8239
393	Ki	3.0	CN(C)CC/C=C\1/C2=CC=CC=C2SC3=C1C=C(C=C3)Cl	8.5229
394	Ki	7.2	CC1=CC=C(C=C1)S(=O)(=O)N2C=C3C[C@@H]([C@H](C4=C3C2=CC=C4)O)N	8.1427
395	Ki	136.0	CN(C)CC1CCCC2=C1C3=C(N2CC4=CC=CC=C4)C=CC(=C3)OC	6.8665
397	Ki	0.3	COC1=C(C=C(C=C1)S(=O)(=O)N2C=CC3=C2C=C(C=C3)Br)N4CCNCC4	9.5229
442	Ki	6.9	CN(C)CC1=CN(C2=CC=CC=C21)S(=O)(=O)C3=CC=C(C=C3)N	8.1612
444	Ki	168.0	CN(C)CC1CCCC2=C1C3=C(N2)C=CC(=C3)OC	6.7747
447	Ki	1.0	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4	9.0
506	Ki	3600.0	C1CN(CCN1)C2=NC3=CC=CC=C3C=C2	5.4437
507	Ki	2800.0	C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O	5.5528
509	Ki	400.0	CN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CNC(=O)OCC5=CC=CC=C5	6.3979
510	Ki	0.4	CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC	9.3979
