baid,activity,aid,sid,cid,geneid,pmid,aidtype,aidmdate,hasdrc,rnai,protacxn,acname,acqualifier,acvalue,aidsrcname,aidname,cmpdname,targetname,targeturl,ecs,repacxn,taxids,cellids,targettaxid
   99333571,Active,6508,103430412,10383682,3362,14761190,Confirmatory,20181017,0,0,P50406,IC50,=,0.0007,ChEMBL,Inhibition against human 5-hydroxytryptamine 6 receptor,{3-[2-(3-Bromo-phenyl)-1H-indol-3-yl]-propyl}-dimethyl-amine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,NULL,
99339747,Active,6544,103192227,6918689,3362,12646038,Confirmatory,20181017,0,0,P50406,Ki,=,0.001,ChEMBL,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,4-(2-Bromo-6-pyrrolidin-1-ylpyridine-4-sulfonyl)phenylamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99339748,Active,6544,103192262,11024311,3362,12646038,Confirmatory,20181017,0,0,P50406,Ki,=,0.002291,ChEMBL,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,[4-(4-Aminobenzenesulphonyl)-6-bromopyridin-2-yl]-methylamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99339749,Active,6544,103192311,10982183,3362,12646038,Confirmatory,20181017,0,0,P50406,Ki,=,0.0001148,ChEMBL,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,4-(2-Bromo-6-piperazin-1-ylpyridin-4-sulphonyl)-phenylamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99339750,Active,6544,103192312,11014674,3362,12646038,Confirmatory,20181017,0,0,P50406,Ki,=,0.0537,ChEMBL,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,"4-(2,6-Dibromopyridine-4-sulphonyl)-phenylamine",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99339751,Active,6544,103670002,20846175,3362,12646038,Confirmatory,20181017,0,0,P50406,Ki,=,0.05495,ChEMBL,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,"4-amino-N-[2,6-bis(methylamino)pyrimidin-4-yl]benzenesulfonamide;dihydrobromide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99339752,Active,6544,103191766,44459048,3362,12646038,Confirmatory,20181017,0,0,P50406,Ki,=,0.04266,ChEMBL,Binding constant towards serotonin receptor subtype 5-hydroxytryptamine 6 receptor expressed in HeLa cells using [3H]LSD as radioligand,N-(4-aminophenyl)-2-bromo-6-(methylamino)pyridine-4-sulfonamide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99339758,Active,6529,103192227,6918689,3362,12646038,Confirmatory,20181017,0,0,P50406,Kd,=,0.003162,ChEMBL,Antagonism assessed in a functional cAMP binding assay using 5-CT to stimulate human 5-hydroxytryptamine 6 receptor expressed in HEK 293 cells,4-(2-Bromo-6-pyrrolidin-1-ylpyridine-4-sulfonyl)phenylamine,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,45,
99342849,Active,6537,163333305,11307899,3362,14613313,Confirmatory,20181017,0,0,P50406,Ki,=,0.05012,ChEMBL,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells using [3H]LSD as radioligand,"(6aR,9R)-N-[(2R,5S,8S,8aS)-8-benzyl-8a-hydroxy-2-methyl-5-(2-methylpropyl)-3,6-dioxo-7,8-dihydro-5H-[1,3]oxazolo[3,2-a]pyrazin-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
99342851,Active,6535,103164236,5761,3362,14613313,Confirmatory,20181017,0,0,P50406,Ki,=,0.00631,ChEMBL,Binding affinity against 5-hydroxytryptamine 6 human cloned receptors in HeLa cells,Lysergide,HTR6 - 5-hydroxytryptamine receptor 6 (human),/gene/3362,NULL,P50406,9606,30,
